name_company,upadte_date,rank,age,level,experience,salary,Tên công việc,Mã công việc
TRƯỜNG ĐOÀN LÝ TỰ TRỌNG,10/06/2024,Nhân viên,35.0,Đại học,Không yeu cau,Thoả thuận,NHÂN VIÊN PHÒNG HỢP TÁC PHÁT TRIỂN,CV2024-26957
TRƯỜNG ĐOÀN LÝ TỰ TRỌNG,10/06/2024,Nhân viên,35.0,Đại học,Không yeu cau,Thoả thuận,NHÂN VIÊN PHÒNG HÀNH CHÁNH TỔ CHỨC,CV2024-26958
TRƯỜNG ĐOÀN LÝ TỰ TRỌNG,10/06/2024,Nhân viên,40.0,Đại học,Không yeu cau,Thoả thuận,GIÁO VIÊN,CV2024-26959
CÔNG TY TNHH KOUPLE,12/06/2024,Nhân viên,,Lao động phổ thông,Không yeu cau,6.500.000VNĐ,NHÂN VIÊN PHỤC VỤ,CV2024-26961
CTY TNHH CÔNG NGHIỆP THỰC PHẨM LIWAYWAY SÀI GÒN_Oishi,14/06/2024,Nhân viên,,Lao động phổ thông,Không yeu cau,8.450.000VNĐ,NHÂN VIÊN GIAO HÀNG TẠI TP.HCM,CV2024-26941
CÔNG TY TNHH CẤP NƯỚC TÓC TIÊN,04/07/2024,Nhân viên,0.0,Đại học,Không yeu cau,10.000.000VNĐ,KỸ SƯ XÂY DỰNG (NGÀNH CẤP NƯỚC),CV2024-26966
CÔNG TY TNHH SUẤT ĂN CÔNG NGHIỆP HẢI YẾN,11/07/2024,Nhân viên,,Lao động phổ thông,Không yeu cau,7.000.000VNĐ,NHÂN VIÊN PHỤC VỤ BẾP,CV2024-26968
HỆ THỐNG GIÁO DỤC ATY,12/07/2024,Nhân viên,0.0,Cao đẳng,một,15.000.000VNĐ,QUẢN LÝ KÝ TÚC XÁ,CV2024-26969
TRUNG TÂM PHÁT TRIỂN NHÂN LỰC HITECO,15/07/2024,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,TƯ VẤN VIÊN / THỰC TẬP SINH TẠI NHẬT,CV2024-26971
Cty TNHH TM – DV – TV  HIỆP THÀNH TÍN,17/07/2024,Nhân viên,,Lao động phổ thông,Không yeu cau,10.000.000VNĐ,NHÂN VIÊN BẢO VỆ,CV2024-26973
HAIR SALON BOBO,23/07/2024,Nhân viên,30.0,Lao động phổ thông,Không yeu cau,Thoả thuận,THỢ LÀM TÓC / LỄ TÂN,CV2024-26980
Tư Nhân Nguyễn Thị Ánh,26/07/2024,Nhân viên,45.0,Lao động phổ thông,Không yeu cau,6.000.000VNĐ,Giúp Việc Nhà ( Bao ăn ở ),CV2024-26981
GIA ĐÌNH CHỊ NGUYỄN THỊ THIÊN HƯƠNG,29/07/2024,Nhân viên,,Lao động phổ thông,Không yeu cau,2.500.000VNĐ,GIÚP VIỆC NHÀ THEO GIỜ,CV2024-26977
