courseUrl,job_name,name_company,upadte_date,rank,industry,amount,age,level,experience,salary,headquarters,Application_deadline,technical_requirements,welfare,describe
https://sieuthivieclam.vn/viec-lam/nhan-vien-phong-hop-tac-phat-trien-CV2024-26957.html,NHÂN VIÊN PHÒNG HỢP TÁC PHÁT TRIỂN(Mã:CV2024-26957),TRƯỜNG ĐOÀN LÝ TỰ TRỌNG,Ngày cập nhật: 10/06/2024,Nhân viên,Ngành nghề khác,1,Dưới 35 tuổi,Đại học,Không yêu cầu,Thoả thuận,Quận Thủ Đức,28/06/2024,"['\n - Làm việc tại Phòng Hợp tác phát triển', '\n - Thời gian làm việc: Giờ hành chánh']",[],[]
https://sieuthivieclam.vn/viec-lam/nhan-vien-phong-hanh-chanh-to-chuc-CV2024-26958.html,NHÂN VIÊN PHÒNG HÀNH CHÁNH TỔ CHỨC(Mã:CV2024-26958),TRƯỜNG ĐOÀN LÝ TỰ TRỌNG,Ngày cập nhật: 10/06/2024,Nhân viên,Hành chánh nhân sự,1,Dưới 35 tuổi,Đại học,Không yêu cầu,Thoả thuận,Quận Thủ Đức,10/06/2024,"['\n - Làm việc tại phòng Hành chánh - Tổ chức', '\n - Thời gian làm việc: Giờ hành chánh']",[],[]
https://sieuthivieclam.vn/viec-lam/giao-vien-CV2024-26959.html,GIÁO VIÊN(Mã:CV2024-26959),TRƯỜNG ĐOÀN LÝ TỰ TRỌNG,Ngày cập nhật: 10/06/2024,Nhân viên,Ngành nghề khác,3,Dưới 40 tuổi,Đại học,Không yêu cầu,Thoả thuận,Quận Thủ Đức,28/06/2024,"['\n - Làm việc tại Trường Đoàn Lý Tự Trọng', '\n - Thời gian làm việc: Giờ hành chánh']",[],[]
https://sieuthivieclam.vn/viec-lam/nhan-vien-phuc-vu-CV2024-26961.html,NHÂN VIÊN PHỤC VỤ(Mã:CV2024-26961),CÔNG TY TNHH KOUPLE,Ngày cập nhật: 12/06/2024,Nhân viên,Du lịch nhà hàng - Khách sạn - Ăn uống,7														(4 nam - 3 nữ),18-25,Lao động phổ thông,Không yêu cầu,6.500.000VNĐ,Quận 7,25/06/2024,"['\n - Tuổi:18-25', '\n - Trung thực, chăm chỉ, đúng giờ, hòa đồng', '\n - Làm theo ca, ca xoay, làm được các ngày Thứ 7, CN, lễ, tết…', '\n - Thời gian: ca 1: 8h-15h – ca 2: 14h-22h', '\n \xa0']","['\n - Partime: 23.000 đ/giờ\xa0\xa0 (4 bạn)', '\n - Fulltime: 6.500.000 đ/tháng (3 bạn). Nghỉ 1 ngày trong tuần (không phải thứ 7, Chúa Nhật)', '\n - Chi tiết khi Phỏng Vấn', '\n ', '\n ', '\n ', '\n ']","['\n - Ngành nghề fastfood', '\n - Bán thức ăn nhanh đồ ăn Hàn Quốc: Bánh gạo, chả cá, xốt, và các nguyên vật liệu cho các chuỗi nhà hàng khách sạn']"
https://sieuthivieclam.vn/viec-lam/nhan-vien-giao-hang-tai-tphcm-CV2024-26941.html,NHÂN VIÊN GIAO HÀNG TẠI TP.HCM(Mã:CV2024-26941),CTY TNHH CÔNG NGHIỆP THỰC PHẨM LIWAYWAY SÀI GÒN_Oishi,Ngày cập nhật: 14/06/2024,Nhân viên,Lái xe - Vận tải - Chuyển phát nhanh - Giao hàng,2														(2 nam),22-35,Lao động phổ thông,Không yêu cầu,8.450.000VNĐ,Quận 4,31/05/2024,['\n '],[],[]
https://sieuthivieclam.vn/viec-lam/ky-su-xay-dung-chuyen-nganh-cap-nuoc-CV2024-26966.html,KỸ SƯ XÂY DỰNG (NGÀNH CẤP NƯỚC)(Mã:CV2024-26966),CÔNG TY TNHH CẤP NƯỚC TÓC TIÊN,Ngày cập nhật: 04/07/2024,Nhân viên,Thiết kế - Xây dựng,3														(3 nam),0,Đại học,Không yêu cầu,10.000.000VNĐ,Bà Rịa - Vũng Tàu,04/08/2024,"['\n - Làm việc tại Thị xã Phú Mỹ, Tỉnh BRVT', '\n - Thời gian làm việc: Giờ hành chánh']",[],[]
https://sieuthivieclam.vn/viec-lam/nhan-vien-phuc-vu-bep-CV2024-26968.html,NHÂN VIÊN PHỤC VỤ BẾP(Mã:CV2024-26968),CÔNG TY TNHH SUẤT ĂN CÔNG NGHIỆP HẢI YẾN,Ngày cập nhật: 11/07/2024,Nhân viên,Lao động phổ thông - Tạp vụ - Giúp việc nhà,4														(2 nam - 2 nữ),18 - 35,Lao động phổ thông,Không yêu cầu,7.000.000VNĐ,Quận 7,11/08/2024,"['\n - Nhân viên phục vụ bếp: Làm việc từ 6h-15h00,', '\n - Công việc phụ trách:', '\n + Sơ chế, lặt rau, củ quả, phục vụ chia suất ăn, dọn rửa, vệ sinh bếp;', '\n + Dọn dẹp vệ sinh khu vực nhà ăn', '\n - Thời gian làm việc từ thứ 2 - thứ 7']",[],[]
https://sieuthivieclam.vn/viec-lam/quan-ly-ky-tuc-xa-CV2024-26969.html,QUẢN LÝ KÝ TÚC XÁ(Mã:CV2024-26969),HỆ THỐNG GIÁO DỤC ATY,Ngày cập nhật: 12/07/2024,Nhân viên,Quản lí chất lượng - Quản lý điều hành,6														(4 nam - 2 nữ),0,Cao đẳng,1,15.000.000VNĐ,"Quận 12, Quận Tân Phú",31/08/2024,"['\n Tốt nghiệp Cao đẳng, Đại học, ưu tiên biết thể thao, tốt nghiệp loại khá giỏi có thể kèm học sinh môn Toán, Lý, Hóa, Anh...', '\n \xa0']","['\n Có cơ hội thăng tiến cao, cơ hội được tham gia huấn luyện, trải nghiệm trong và ngoài nước.', '\n Có phụ cấp hè, thưởng tết theo năng lực và hiệu suất làm việc. Đày đủ chế độ BXYT, BHXH theo quy định.']","['\n 04 nam, 02 Nữ làm quản lý ký túc xá làm việc cả ngày (sáng tối ở lại trường), quản lý học sinh, hỗ trợ học tập, làm công tác chủ nhiệm, thực hiện công tác theo sự phân công.', '\n Lương khởi điểm 15 triệu/ tháng, hỗ trợ chỗ ăn nghĩ trong giờ làm việc.', '\n \xa0', '\n \xa0']"
https://sieuthivieclam.vn/viec-lam/tu-van-vien--thuc-tap-sinh-tai-nhat-CV2024-26971.html,TƯ VẤN VIÊN / THỰC TẬP SINH TẠI NHẬT(Mã:CV2024-26971),TRUNG TÂM PHÁT TRIỂN NHÂN LỰC HITECO,Ngày cập nhật: 15/07/2024,Nhân viên,Hành chánh nhân sự,20,0,Lao động phổ thông,Không yêu cầu,Thoả thuận,Quận Tân Bình,25/07/2024,"['\n 1/ NHÂN VIÊN TƯ VẤN (Thông dịch, làm hồ sơ, phỏng vấn, tư vấn...)', '\n - Nữ, cao từ 1.55m, có bằng tiếng Nhật N2, giao tiếp tốt tiếng Nhật, nhanh nhẹn, chu đáo, cẩn thận trong công việc', '\n - Mức lương: Trao đổi khi phỏng vấn', '\n - Tham gia bảo hiểm và các chế độ theo quy điịnh công ty', '\n 2/ TUYỂN LAO ĐỘNG LÀM VIỆC TẠI NHẬT BẢN', '\n - Tuyển lao động thực tập sinh, kỹ sư, du học, kỹ năng đặc định..', '\n - Các ngành nghề: May mặc, Thực phẩm, Cơ khí, Xây dựng, Logistic, Đóng gói, Điều dưỡng, In ấn, Hộ lý, Nông nghiệp, Chế biến thủy hải sản...', '\n * Yêu cầu:\xa0', '\n - Độ tuổi: Trên 18', '\n - Nam cao 1.60m, Nữ cao 1.55m trở lên', '\n - Sức khỏe tốt', '\n - Trình độ tốt nghiệp cấp 2 trở lên', '\n * Quyền lợi:', '\n - Mức lương thực lãnh: 28.000.000 - 40.000.000 đ/tháng', '\n - Tham gia đầy đủ chế độ bảo hiểm theo quy định', '\n - Thời hạn hợp đồng từ 03 năm trở lên', '\n - Sau 03 năm sẽ để dành được từ 600 triệu đến 800 triệu Đ', '\n - Sau khi về nước, HITECO hỗ trợ nhận lại tiền bảo hiểm từ 80 triệu đồng trở lên']",[],[]
https://sieuthivieclam.vn/viec-lam/nhan-vien-bao-ve-CV2024-26973.html,NHÂN VIÊN BẢO VỆ(Mã:CV2024-26973),Cty TNHH TM – DV – TV  HIỆP THÀNH TÍN,Ngày cập nhật: 17/07/2024,Nhân viên,Bảo vệ - Vệ sĩ - An ninh,6														(6 nam),25-55,Lao động phổ thông,Không yêu cầu,10.000.000VNĐ,Quận 1,29/07/2024,"['\n - Làm việc tại TP.HCM', '\n - Ca 12h – ca 24h', '\n - Lương: 7.000.000-10.000.000 đ/tháng', '\n - Chuyên môn và kinh nghiệm sẽ được đào tạo thêm', '\n - Có Căn Cước Công Dân', '\n \xa0']","['\n - Lương: 7.000.000-10.000.000 đ/tháng', '\n ', '\n ', '\n ']","['\n - Nhân viên Bảo Vệ', '\n - Tuổi: 25-55', '\n - Có sức khỏe tốt']"
