_id,courseUrl,name_company,upadte_date,rank,amount,age,level,experience,salary,headquarters,technical_requirements,Tên công việc,Mã công việc
6706b34d6ab7bb80c7c1a371,https://sieuthivieclam.vn/viec-lam/nhan-vien-ky-thuat-CV2024-26991.html,CÔNG TY TNHH XE NÂNG MIỀN NAM,Ngày cập nhật: 02/08/2024,Nhân viên,1 (1 nam),0,Trung học phổ thông,Không yêu cầu,13.000.000VNĐ,Quận 12,"['\n - Tốt nghiệp từ THPT trở lên, ưu tiên biết hàn tiện cơ khí, điện.', '\n - Trung thực, sức khỏe tốt, vui vẻ, hòa đồng, có tinh thần trách nhiệm.', '\n - Siêng năng, ham học hỏi, sẽ được đào tạo nghề.']",NHÂN VIÊN KỸ THUẬT,CV2024-26991
6706b34d6ab7bb80c7c1a372,https://sieuthivieclam.vn/viec-lam/tri-lieu-vienhoc-nghe-tri-lieu-CV2024-26923.html,SPA SEN TÀI THU,Ngày cập nhật: 02/05/2024,Nhân viên,20 (20 nữ),45,Lao động phổ thông,Không yêu cầu,Thoả thuận,Quận Phú nhuận,"['\n ', '\n - Tuổi: 18-35. Trình độ: 12/12', '\n - Nhanh nhẹn, hoạt bát, ứng xử tốt', '\n - Thời gian: 10 tiếng(luôn giờ nghỉ trưa). Xoay ca', '\n - Đào tạo miễn phí 2 tháng+ tiền cơm(30 k/ 1 suất)', '\n - Cam kết làm ít nhất 2 năm', '\n - Thu nhập: từ 10.000.000 đ/tháng. Trao đổi thêm khi Phỏng Vấn']",TRỊ LIỆU VIÊN/HỌC NGHỀ TRỊ LIỆU,CV2024-26923
6706b3526ab7bb80c7c1a373,https://sieuthivieclam.vn/viec-lam/nhan-vien-ban-hang-qua-dien-thoai-CV2024-26884.html,CÔNG TY TNHH TƯ VẤN GIẢI PHÁP DOANH NGHIỆP TPC,Ngày cập nhật: 03/06/2024,Nhân viên,100,0,Trung học phổ thông,Không yêu cầu,Thoả thuận,Quận 12,"['\n - Tốt nghiệp THPT', '\n - Nam + Nữ: 22 – 35 tuổi', '\n - Có kinh nghiệm tư vấn và bán hàng từ 3 tháng trở lên: Sales, telesales, chăm sóc khách hàng …']",NHÂN VIÊN BÁN HÀNG QUA ĐIỆN THOẠI,CV2024-26884
6706b3526ab7bb80c7c1a374,https://sieuthivieclam.vn/viec-lam/ke-toan-CV2024-26950.html,CÔNG TY LUẬT ALFA,Ngày cập nhật: 03/06/2024,Nhân viên,2 (2 nữ),Dưới 25,Trung cấp,Không yêu cầu,Thoả thuận,Quận 1,"['\n - Số lượng 02 nữ, dưới 25 tuổi,', '\n - Trình độ trung cấp, cao đẳng, đại học chuyên ngành kế toán', '\n - Ưu tiên ứng viên từng làm công việc kế toán hoặc từng thực tập công việc kế toán,', '\n - Giọng dễ nghe, ngoại hình ưa nhìn, trách nhiệm với công viejc, nhanh nhẹn, xử lý tình huống tốt.']",KẾ TOÁN,CV2024-26950
6706b3546ab7bb80c7c1a375,https://sieuthivieclam.vn/viec-lam/buong-phong--ve-sinh-CV2023-26811.html,KHÁCH SẠN SÀI GÒN MIA,Ngày cập nhật: 03/01/2024,Nhân viên,1 (1 nữ),Dưới 45 tuổi,Lao động phổ thông,1,7.000.000VNĐ,Huyện Bình Chánh,['\n - Thời gian làm việc: Giờ hành chánh 8g00 - 17g00 hoặc theo ca thỏa thuận'],BUỒNG PHÒNG / KẾ TOÁN,CV2023-26811
6706b3566ab7bb80c7c1a376,https://sieuthivieclam.vn/viec-lam/nhan-vien-bao-tri-diennuoc-CV2023-26803.html,TRƯỜNG THPT THỦ KHOA HUÂN,Ngày cập nhật: 03/10/2023,Nhân viên,1 (1 nam),,Trung cấp,Không yêu cầu,Thoả thuận,Quận Tân Bình,"['\n Thời gian: hành chánh', '\n Nghỉ ngày Chủ Nhật']",NHÂN VIÊN BẢO TRÌ ĐIỆN/NƯỚC,CV2023-26803
6706b3566ab7bb80c7c1a377,https://sieuthivieclam.vn/viec-lam/cong-viec-cho-nguoi-khuyet-tat-CV2023-26738.html,HỘ GIA ĐÌNH NGUYỄN VĂN NGỌC,Ngày cập nhật: 08/11/2023,Nhân viên,0,0,Trung học phổ thông,Không yêu cầu,Thoả thuận,Quận Gò Vấp,"['\n - Trình độ 12 trở lên', '\n - Biết sử dụng máy vi tính', '\n - Tiếng Anh tương đối', '\n - Có máy tính làm việc và kết nối internet là một lợi thế']",Marketing online,CV2023-26738
6706b3576ab7bb80c7c1a378,https://sieuthivieclam.vn/viec-lam/ky-thuat-co-khi-nhan-vien-san-xuat--thi-cong-lap-dat-ke-toan-noi-bo-CV2023-26586.html,CÔNG TY CỔ PHẦN ĐIỆN TỬ VIỄN THÔNG TOÀN TRUNG,Ngày cập nhật: 04/08/2023,Nhân viên,7,Trong độ tuổi lao động,Trung cấp,1,Thoả thuận,Quận Tân Phú,"['\n ', '\n ', '\n ', '\n ', '\n ']",KỸ THUẬT CƠ KHÍ/ THI CÔNG LẮP ĐẶT/ KẾ TOÁN NỘI BỘ,CV2023-26586
6706b3586ab7bb80c7c1a379,https://sieuthivieclam.vn/viec-lam/chuyen-vien-thiet-ke-quay-dung-nhan-vien-mang-tiktok-am-thuc-CV2023-26709.html,KHÁCH SẠN - NHÀ HÀNG LÚA ĐẠI VIỆT,Ngày cập nhật: 20/06/2023,Nhân viên,10,0,Chứng chỉ - Sơ cấp nghề,1,Thoả thuận,Quận 1,"['\n ', '\n ', '\n ', '\n ', '\n ', '\n ', '\n ', '\n ', '\n - Tốt nghiệp hoặc đnag theo học ngành marketing/ quản trị kinh doanh/ kinh tế tại các trường đại học, cao đẳng', '\n - Có đam mê với ngành marketing', '\n ', '\n - Có kinh nghiệm 1-2 năm trong lĩnh vực Marketing/ Truyền thông', '\n - Hiểu biết về marketing và nghiên cứu thị trường, phân tích dữ liệu và các công cụ marketing, sẽ được đào tạo nếu chưa có kinh nghiệm.', '\n - Tốt nghiệp Trung cấp trở lên', '\n \xa0', '\n \xa0']","CV THIẾT KẾ, QUAY DỰNG/ NV TIKTOK ẨM THỰC/ THỰC TẬP SINH MARKETING/ CV MARKETING",CV2023-26709
6706b3586ab7bb80c7c1a37a,https://sieuthivieclam.vn/viec-lam/giao-vien-djay-kem-hs-lop-5-goi-ctv-CV2023-26714.html,anh Nam,Ngày cập nhật: 03/05/2023,Nhân viên,0,0,Trung học phổ thông,Không yêu cầu,Thoả thuận,Quận 4,"['\n - Nữ sinh viên', '\n - Giỏi toán để kèm học sinh lớp 5 3 buổi/tuần']",Giáo viên dạy kèm HS lớp 5 (gói CTV),CV2023-26714
6706b3596ab7bb80c7c1a37b,https://sieuthivieclam.vn/viec-lam/nhan-vien-tu-van-tin-dung-CV2023-26660.html,CÔNG TY TÀI CHÍNH TNHH MTV SHINHAN VIỆT NAM,Ngày cập nhật: 28/03/2023,Nhân viên,12 (5 nam - 7 nữ),Từ 19 tuổi - 39 tuổi,Trung cấp,Không yêu cầu,6.250.000VNĐ,Quận 5,"['\n Tốt nghiệp THPT trở lên', '\n Không yêu cầu ngành nghề đào tạo', '\n Kỹ năng giao tiếp tốt', '\n Chịu khó, đam mê kiếm tiền', '\xa0']",NHÂN VIÊN TƯ VẤN TÍN DỤNG,CV2023-26660
6706b3596ab7bb80c7c1a37c,https://sieuthivieclam.vn/viec-lam/nhan-vien-giao-nhan-chung-tu-CV2023-26619.html,VĂN PHÒNG THỪA PHÁT LẠI  HUYỆN HÓC MÔN,Ngày cập nhật: 20/02/2023,Nhân viên,10,Dưới 50 tuổi,Trung học phổ thông,Không yêu cầu,Thoả thuận,Huyện Hóc Môn,"['\n - Nhân viên giao nhận văn bản cho cơ quan Tòa Án và Thi Hành Án dân sự trên địa bàn Tp.HCM', '\n - Thời gian làm việc: Giờ hành chánh']",NHÂN VIÊN GIAO NHẬN CHỨNG TỪ,CV2023-26619
