courseUrl,job_name,name_company,upadte_date,rank,amount,age,level,experience,salary,headquarters,technical_requirements
https://sieuthivieclam.vn/viec-lam/nhan-vien-ky-thuat-CV2024-26992.html,NHÂN VIÊN KỸ THUẬT(Mã:CV2024-26992),CÔNG TY TNHH THIẾT BỊ VĂN PHÒNG GIA THỊNH,Ngày cập nhật: 06/08/2024,Nhân viên,1 (1 nam),Tuổi từ 25 đến 35,Trung cấp,Không yêu cầu,14.000.000VNĐ,Quận Gò Vấp,"['\n - Số lượng: 01 (Nam)', '\n - Tốt nghiệp Trung cấp, Cao đẳng ngành kỹ thuật, cơ khí, cơ-điện tử hoặc chuyên ngành phần cứng máy tính.', '\n - Tuổi từ 25 đến 35, sức khỏe tốt, có tinh thần trách nhiệm, muốn có công việc ổn định lâu dài.']"
https://sieuthivieclam.vn/viec-lam/chuyen-vien-kinh-doanh-CV2024-26993.html,CHUYÊN VIÊN KINH DOANH(Mã:CV2024-26993),TỔNG CÔNG TY CỔ PHẦN NOVA SERVICE,Ngày cập nhật: 14/08/2024,Nhân viên,10,0,Cao đẳng,Không yêu cầu,7.500.000VNĐ,Quận 1,['\n - Thời gian làm việc: Giờ hành chánh']
https://sieuthivieclam.vn/viec-lam/nhan-vien-ky-thuat-CV2024-26998.html,NHÂN VIÊN KỸ THUẬT(Mã:CV2024-26998),CÔNG TY TNHH SƠN HÀ CT,Ngày cập nhật: 16/08/2024,Nhân viên,1 (1 nam),25-45,Cao đẳng,2,Thoả thuận,Quận Gò Vấp,"['\n ', '\n ', '\n ', '\n ', '\n ', '\n ', '\n ']"
https://sieuthivieclam.vn/viec-lam/tap-vu-CV2024-26999.html,PHỤ QUÁN CƠM(Mã:CV2024-26999),QUÁN CƠM ANH VŨ,Ngày cập nhật: 26/08/2024,Nhân viên,1 (1 nữ),38-45,Lao động phổ thông,Không yêu cầu,250.000VNĐ,Quận 1,"['\n Tác phong gọn gàng', '\n Phụ bán giờ trưa', '\n Thời gian: 6h sáng- 4 giờ chiều', '\n Làm từ thứ 2- thứ 6', '\n Thứ 7, Chủ Nhật nghỉ']"
https://sieuthivieclam.vn/viec-lam/phuc-vu-quan-bida-CV2024-27002.html,PHỤC VỤ QUÁN BIDA(Mã:CV2024-27002),KHÁNH BI CLUB,Ngày cập nhật: 26/08/2024,Nhân viên,4 (2 nam - 2 nữ),18-25,Lao động phổ thông,Không yêu cầu,Thoả thuận,Quận 6,"['\n 01 Đơn xin việc có dán ảnh', '\n 02 Bản sơ yếu lý lịch có công chứng xác nhận của UBND phường/xã', '\n Bản sao hộ khẩu, CMND có công chứng của UBND phường/xã xác nhận sao y bản chính', '\n Bản sao các văn bằng, chứng chỉ nghề liên quan có công chứng của UBND phường/xã xác nhận sao y bản chính', '\n 02 Tấm hình mới nhất khổ 3x4', '\n (Tất cả giấy tờ trên có thời hạn không quá 6 tháng kể từ ngày công chứng)']"
https://sieuthivieclam.vn/viec-lam/nhan-vien-hanh-chanh-CV2024-27003.html,NHÂN VIÊN HÀNH CHÁNH(Mã:CV2024-27003),CÔNG TY XUẤT NHẬP KHẨU THUỐC LÁ,Ngày cập nhật: 26/08/2024,Nhân viên,1 (1 nam),trên 20,Trung học phổ thông,Không yêu cầu,Thoả thuận,Quận 3,"['\n Thời gian: hành chánh', '\n Phỏng vấn trao đổi cụ thể', '\n \xa0']"
https://sieuthivieclam.vn/viec-lam/ke-toan-vien-CV2024-27004.html,KẾ TOÁN VIÊN(Mã:CV2024-27004),CÔNG TY TNHH XUẤT NHẬP KHẨU TÍN VĨ,Ngày cập nhật: 30/08/2024,Nhân viên,2 (2 nữ),Dưới 40 tuổi,Trung cấp,Không yêu cầu,10.000.000VNĐ,Quận 4,"['\n - Làm việc cho công ty chuyên về dịch vụ xuất nhập khẩu', '\n - Thời gian làm việc: giờ hành chánh từ Thứ 2 đến sáng Thứ 7', '\n ', '\n ', '\n ', '\n ']"
https://sieuthivieclam.vn/viec-lam/nhan-vien-kinh-doanh-CV2024-26994.html,GIÁM ĐỐC/ TRƯỞNG PHÒNG KINH DOANH/ TƯ VẤN BẢO HIỂM(Mã:CV2024-26994),BẢO HIỂM CÔNG NGHỆ FWD,Ngày cập nhật: 10/09/2024,Nhân viên,20,0,Trung học phổ thông,Không yêu cầu,Thoả thuận,Quận 3,"['\n • Có sự yêu thích với kinh doanh, chưa có kinh nghiệm sẽ được đào tạo', '\n • Ưu tiên có kinh nghiệm làm việc trong lĩnh vực ngân hàng, tài chính, bảo hiểm, sales, tư vấn, bán hàng, chăm sóc khách hàng, là một lợi thế', '\n • Có khả năng thực hiện các kế hoạch kinh doanh', '\n \xa0']"
https://sieuthivieclam.vn/viec-lam/nhan-vien-thu-mua-va-phat-trien-san-pham-CV2024-27006.html,NHÂN VIÊN THU MUA VÀ PHÁT TRIỂN SẢN PHẨM(Mã:CV2024-27006),GOLD FRUIT SÀI GÒN,Ngày cập nhật: 10/09/2024,Nhân viên,2,0,Cao đẳng,1,8.000.000VNĐ,Quận Thủ Đức,"['\n - Làm việc cho hệ thống cửa hàng kinh doanh trái cây', '\n - Nắm bắt nhu cầu và thực hiện mua hàng, kiểm soát chất lượng hàng theo đúng quy trình, thủ tục mua hàng, bao gồm hàng trong nước và nhập khẩu.', '\n - Thực hiện theo đúng hướng dẫn, quy trình phát triển sản phẩm mới', '\n - Chi tiết công việc được trao đổi chi tiết khi phỏng vấn.', '\n - Thời gian làm việc: 08:00 - 17:00, từ thứ 2 đến thứ 7.']"
https://sieuthivieclam.vn/viec-lam/le-tan--kinh-doanh-CV2024-27008.html,LỄ TÂN / KINH DOANH(Mã:CV2024-27008),CÔNG TY TNHH MTV TM DV MỸ DI (CALLA SPA),Ngày cập nhật: 12/09/2024,Nhân viên,5,Dưới 30 tuổi,Lao động phổ thông,Không yêu cầu,7.000.000VNĐ,Quận Phú nhuận,"['\n - Làm việc cho Spa làm đẹp, chăm sóc da', '\n - Thời gian làm việc:\xa008g30 – 19g30 (Có nghỉ trưa giữa giờ)', '\n ', '\n - 03 Nữ, dưới 30 tuổi', '\n - Mức lương: Khởi điểm 7.000.000 đ/tháng + Thưởng', '\n - Được thưởng hoa hồng cao 2% - 4% nếu tư vấn thành công gói sản phẩm', '\n - Công ty hỗ trợ chổ ở cho ứng viên cần', '\n ', '\n - 02 Nữ, dưới 30 tuổi', '\n - Mức lương: Cơ bản 8.000.000 đ/tháng + hoa hồng 2% - 4%', '\n (Đảm bảo tổng thu nhập từ 20.000.000 – 30.000.000 đ/tháng)', '\n - Công ty hỗ trợ chổ ở cho ứng viên cần']"
